trial,r1_mm,r2_mm,r3_mm,r4_mm,Vwork_V,initialTmax_K,lifetimeH,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,selfViewLoss_pct,failureReached,erosionSteps,status,elapsed_sec
49,1.472020362,3.829497775,1.34947032,2.519331796,1.07421875,3215.876135,62.9818911,586.7216021,616.9690466,511.3758342,539.7929313,5.183294025,TRUE,12,OK,232.8
50,1.674932338,4.158491999,1.673524822,1.449434589,0.927734375,3263.321643,29.6732374,497.3915337,526.3561004,455.8318072,483.7219871,0.95998891,TRUE,12,OK,259.5
51,1.46692447,3.899440495,1.313363084,2.432606388,1.123046875,3272.422151,33.41447494,609.9412585,640.8034686,537.3520492,566.4802233,5.231119292,TRUE,12,OK,280.1
52,1.370055841,3.667849872,2.293150783,2.100305643,0.830078125,3195.08092,66.99526074,480.4732808,507.1102849,425.057691,450.2873054,-0.579493306,TRUE,12,OK,252.6
53,1.647771903,3.804728953,1.624448429,2.273774979,0.9765625,3245.782637,63.03990874,618.0541054,648.5442005,530.9977592,559.2501311,3.190513448,TRUE,13,OK,267
54,1.22235898,3.620953414,1.922681667,2.588016635,0.87890625,3238.956045,44.87167662,458.3663849,484.8669355,403.4667753,428.5598835,1.532658878,TRUE,12,OK,199.1
55,1.751560013,4.055464066,1.616956125,1.6943145,0.87890625,3196.989315,54.36857417,500.3679887,529.1003754,462.2518939,489.9238457,0.540713173,TRUE,12,OK,372.6
56,1.979737997,3.268239016,1.864084901,2.631432819,0.830078125,3223.957543,9.122256508,600.9491524,629.4484387,589.645697,617.8468319,3.463432742,TRUE,2,OK,111.6
57,1.004464745,4.280693076,1.450203791,1.887756957,1.07421875,3271.067412,26.26325762,445.3253485,473.5838754,401.3029756,428.3546386,0.527663208,TRUE,11,OK,208.4
58,1.591654588,3.699844534,1.746585696,2.39316203,0.927734375,3205.937329,67.63187603,591.9135117,621.5435092,519.1506856,546.9601301,2.964354603,TRUE,11,OK,230.6
59,1.604196128,3.906691734,1.732613159,2.040187767,0.9765625,3263.346263,44.12400451,620.3664925,651.0288978,548.1516062,576.9423787,1.691484852,TRUE,13,OK,290.5
60,1.603213153,3.974355458,1.75389375,1.886282851,0.927734375,3211.202402,57.25656552,566.0541118,595.8381131,513.9914851,542.3652745,0.811422495,TRUE,13,OK,379.1
61,1.296269237,3.879396911,1.844977182,2.205906814,0.927734375,3241.049394,36.27875998,512.0341571,540.4236928,460.197786,487.3045693,1.050365473,TRUE,11,OK,250.3
62,1.412010515,4.133666775,1.653725308,1.784437699,1.025390625,3224.137827,69.02851408,577.4212126,607.968851,504.0152681,532.6455208,0.601892336,TRUE,14,OK,380.6
63,1.568432714,3.543837513,2.047078194,2.406388449,0.830078125,3196.601275,63.27861397,538.0326724,565.7777385,480.635841,506.9360803,1.174185455,TRUE,10,OK,239
64,1.853771,3.748655376,1.723229929,2.131101725,0.87890625,3229.340157,52.39782456,578.0911534,607.515921,521.0871379,548.9517699,1.995074086,TRUE,14,OK,295.1
65,1.22943005,3.355497736,1.974564429,2.886214131,0.830078125,3199.727445,67.94101277,427.9137295,453.0937132,375.0077031,398.7957384,1.92998658,TRUE,11,OK,186.2
66,1.968868356,3.674536797,1.73204676,2.149732715,0.830078125,3194.982376,75.64729291,548.997422,577.6494221,493.5464676,520.6252723,1.805129525,TRUE,14,OK,261.2
67,1.633871779,4.460284399,1.293492707,0.873614734,0.927734375,3208.852457,76.66538666,287.0805023,311.2000226,251.1748212,273.9977426,-1.861402921,TRUE,12,OK,275.3
68,2.032577369,2.045673599,2.630143488,3.125091039,0.68359375,3199.380635,78.62393092,497.5609525,521.6269071,433.5950638,455.7171525,-2.337819438,TRUE,11,OK,333
69,3.246091738,3.481343944,1.25567514,0.875450003,0.830078125,3204.426669,95.70387281,253.1218932,273.6572072,217.7582037,237.0627375,-4.686515663,TRUE,12,OK,326.1
70,2.326780871,3.747431476,1.818670417,1.495087297,0.78125,3227.509089,55.91923914,453.9231873,480.6333784,406.6864052,432.1760389,0.55024385,TRUE,12,OK,242.9
71,1.824338154,4.016047549,1.711072601,1.617214561,0.87890625,3247.309897,36.54478929,512.9785797,541.7992182,471.1771998,498.9331664,0.899506831,TRUE,12,OK,300.4
72,1.709948246,3.768347853,1.516674867,2.361213418,0.9765625,3245.898692,51.60502243,600.7797923,630.9462209,525.8239673,554.093035,4.09750094,TRUE,12,OK,245.8
73,1.40168978,3.883065711,1.553625493,2.354424404,1.025390625,3237.525443,38.44724364,584.0813842,614.2665606,523.4772043,552.2239647,3.481455303,TRUE,12,OK,234.6
74,1.373640257,3.936043431,1.539316027,2.291545489,1.025390625,3223.952518,41.96290903,571.0039212,601.0870823,513.897349,542.6088483,3.190969755,TRUE,11,OK,234.6
75,0.823272813,3.597893438,1.403167737,3.06732864,0.9765625,3220.741912,64.60272927,310.2042715,333.4087722,271.1953957,293.1269098,3.039669247,TRUE,11,OK,214.8
76,1.51240516,4.072838018,1.516597939,1.955646134,1.025390625,3246.084689,37.19194174,587.0669824,617.7652533,534.0658788,563.3346201,2.182462653,TRUE,14,OK,308.8
77,1.194533462,4.050884253,1.497029055,2.218632594,1.025390625,3219.767569,40.21723976,502.9131277,531.9419191,454.0749394,481.868888,2.338712676,TRUE,12,OK,213.7
78,1.441176281,4.240268318,1.644878093,1.4958314,0.9765625,3203.301304,47.96995895,504.9274137,534.3267335,466.9528586,495.3467041,0.734695017,TRUE,11,OK,268.2
79,1.859476808,3.831801178,1.577199706,2.090953567,0.927734375,3270.473558,32.5310867,584.7426571,614.6338748,529.2803157,557.6812553,2.584851001,TRUE,15,OK,302.7
80,1.0122996,4.374760547,1.532788078,1.577111404,1.07421875,3239.465051,32.95179347,443.4465743,471.78257,402.2270454,429.4195488,-0.780372014,TRUE,11,OK,343.7
81,1.514125788,3.751822077,1.708388384,2.390117849,0.9765625,3258.578023,33.81035529,608.982388,639.1181089,543.6434606,572.2303791,3.22345609,TRUE,12,OK,258.1
82,1.689700774,4.096604282,1.616368281,1.658342014,0.927734375,3255.223435,30.43928339,528.2305953,557.649719,488.771701,517.1528364,0.769938815,TRUE,12,OK,358.5
83,1.293602778,3.886554377,1.399805422,2.502365222,1.07421875,3228.771552,37.68980244,555.8191427,585.6178718,500.893367,529.3725008,4.312306151,TRUE,11,OK,243.7
84,1.559828103,4.187405431,1.67438617,1.492984596,0.927734375,3200.41858,51.88347849,490.9943142,519.9224357,452.5083356,480.4191167,0.750590162,TRUE,12,OK,281.9
85,1.927559314,3.737798487,1.468814037,2.270674544,0.927734375,3246.261192,59.61431908,566.6584959,596.05329,489.6987657,517.0549925,3.584486041,TRUE,15,OK,290.5
86,1.752870299,3.935947918,1.804723036,1.782900577,0.87890625,3228.18835,46.17529093,544.3803787,573.5482726,499.847345,527.882143,0.837048418,TRUE,12,OK,334.3
87,1.642925263,3.603589524,1.91657641,2.375220828,0.87890625,3216.106898,57.57588336,587.3220897,616.3630053,519.5667229,546.9011964,2.069901215,TRUE,12,OK,227.7
88,1.496227063,3.149511098,1.150952439,3.393699,1.123046875,3232.198624,46.91058984,547.7154574,575.8384806,476.2622132,502.7831283,7.874832601,TRUE,12,OK,213.4
89,2.109983507,1.835107289,1.935853811,3.66508129,0.78125,3206.597705,81.19407026,519.2985195,544.9818718,447.6511913,471.250098,-0.924047456,TRUE,11,OK,301.1
90,4.126547752,2.556609922,0.860450187,0.833651504,0.927734375,3224.117948,43.31584731,226.5868181,247.6723451,202.7617575,222.882811,-5.698661905,TRUE,12,OK,303.3
91,1.643683667,3.631551264,1.894083541,2.350018501,0.87890625,3201.529696,68.89812957,582.9562871,612.021745,513.5587414,540.8561322,2.040135812,TRUE,12,OK,230.3
92,1.343534748,3.4106245,1.757720742,2.910837112,0.87890625,3197.751772,57.23328896,484.1109036,510.9573373,432.583215,458.127817,3.703282926,TRUE,12,OK,207.6
93,1.81290409,3.512392355,1.541996558,2.645510409,0.927734375,3217.03551,24.58568902,585.7817093,615.0250262,552.9952459,581.4407063,5.172902003,TRUE,5,OK,147
94,1.582752661,3.81956976,1.825192948,2.138796757,0.927734375,3206.214376,70.82925548,593.3447826,623.1830775,517.0527023,544.9459899,1.517351701,TRUE,12,OK,280.9
