trial,N_RUNS,L_RUN_mm,z_first_mm,side_mm,Vwork_V,initialTmax_K,lifetimeH,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,selfViewLoss_pct,failureReached,erosionSteps,status,elapsed_sec
53,10,155.62787772347443,2.2062568985232174,0.4183989464656518,100.0,2408.230165315478,200.0,1243.4983771633895,1362.4576279227792,1176.9448902052873,1289.5386952702208,12.156255001789706,False,20,OK,345.9
54,10,73.0983056386399,2.758195103499551,0.607443326457415,84.48397015885709,3273.1228973633342,4.092535761794673,2975.5238786695645,3107.098482870929,2991.556602224855,3126.9964048538495,9.782193808541695,True,11,PRUNE_LIFETIME,812.8
55,10,114.51695834655135,1.644835475277588,0.4869736636538423,100.0,2780.402853251622,10.0,2323.155838764778,2477.097866577477,2323.155838764778,2477.097866577477,-2.3223292997846423,True,1,PRUNE_LIFETIME,45.6
56,10,99.24825900110956,2.344421951709447,0.5226077302593711,100.0,2987.820074869551,74.05753337513211,2796.350929744333,2950.9564346894335,2585.5485523864377,2731.3503097780745,3.5290762341281923,True,11,OK,566.7
57,4,81.86672950519146,2.3370059495016675,0.8972317749575012,33.49609375,3272.3685568653627,6.234502614207112,2286.1393441253,2388.5714653656396,2258.4100028024427,2361.2742370530837,1.1031353130609434,True,11,PRUNE_LIFETIME,422.2
58,8,97.18714434425961,2.140347097833384,0.5893242115715619,95.6552734375,3273.026412779599,4.14413496280644,3309.177869153831,3454.10102396371,3564.8790012829327,3723.9028465651563,-1.5608628263082736,True,11,PRUNE_LIFETIME,659.7
59,10,39.98168048748823,1.9214118403223204,0.8150324519511865,38.29977173653276,3272.2384314750448,5.705607076954679,2130.1486705924026,2227.3671472342444,2073.3625889155305,2170.416299672052,12.940033307809296,True,11,PRUNE_LIFETIME,773.9
60,10,67.49401114762891,2.381077174848996,0.6316670561457773,76.94958199456748,3272.733059739955,4.6052485543526815,2551.823918975524,2664.8630006144194,2830.5310956287935,2958.8180104165876,11.179717878908269,True,11,PRUNE_LIFETIME,841.2
61,10,129.28617407597633,1.7989543789375622,0.4586317756508313,100.0,2626.302957297792,60.0,1715.5228747960434,1846.9844934248083,1704.8615939570864,1835.525472855531,9.465349607246832,True,6,OK,131.7
62,10,101.66632538965312,2.0660996592075107,0.5164408254670875,100.0,2948.3328776573594,113.10856387730722,2464.4211859793404,2605.2431001277378,2655.135570064348,2809.574870383777,-2.9061530966584037,True,12,OK,579.7
63,10,105.55502704254954,2.5823918520792244,0.5069654488501893,100.0,2905.5806458548386,10.0,2151.5687425500337,2279.3301330849145,2151.5687425500337,2279.3301330849145,17.860912521515825,True,1,PRUNE_LIFETIME,53.2
64,10,117.37380491875707,2.0543465014190567,0.48108146873943103,100.0,2752.6899023855267,10.0,2194.845438473206,2344.1413586446133,2194.845438473206,2344.1413586446133,0.1520512528131679,True,1,PRUNE_LIFETIME,44.2
65,14,87.48107620891129,2.252212660961733,0.47107466378055746,100.0,2745.5117138526402,10.0,1505.8056000319325,1609.4187897304312,1505.8056000319325,1609.4187897304312,31.51030865888027,True,1,PRUNE_LIFETIME,55.0
66,16,96.37022254028214,2.0786283671146837,0.42032462508401597,100.0,2465.422024803035,200.0,1271.4108726582372,1386.4736745544792,1104.8974148559553,1204.8961721289727,24.63869248305889,False,20,OK,456.3
67,10,73.97533639969193,1.9432265035110226,0.6038990287797961,87.92307835996604,3272.9313992064285,4.293254773698415,3001.9036373849035,3134.042040176878,3221.669127980505,3366.362839707114,4.983071094567071,True,11,PRUNE_LIFETIME,824.3
68,12,82.35045376582644,2.21312775615559,0.5237217179904633,100.0,3018.9542899771905,51.464867700124614,2401.4117774076267,2531.0513572697664,2632.3594683691554,2777.440581921773,5.23297943968466,True,11,OK,684.3
69,12,56.23844157388979,2.3233553634932815,0.6317031896117611,73.32366143868123,3272.373658264806,4.751922023267933,2876.028497524059,3004.346385230815,2644.4705228119665,2765.790132639033,15.308467329220054,True,11,PRUNE_LIFETIME,950.5
70,12,84.7842791903469,2.2050779033325374,0.516253500789587,100.0,2975.87568911858,77.00379197275885,2483.3231544177015,2622.3344619068966,2465.444654269062,2606.208197692695,7.493142396829211,True,11,OK,670.5
71,12,80.2913669196834,2.187875332841122,0.530299696879728,100.0,3056.2818777054335,34.492659282915845,2640.1454329934227,2778.3100511961375,2640.2822272585568,2781.335679446407,8.556563195969813,True,11,PRUNE_LIFETIME,690.9
